ID;SUPPLIER;"CARRIER NAME";INVOICE;"INVOICE NUMBER";"READY DATE";"VALIDATION DATE";"SHIPPING QUOTE";"PACKING LIST";"CUSTOMS DOCS";TRACKING;STATUS;id_claim;"PICKING DATE";CARRIER;INCOTERM;ROUTE;FREIGHT;"CUSTOMS CLEAR";"IMPORT DUTIES";"DELIVERY DATE";COMMENTS
117;75;"ALL WAYS CARGO";16171.36;2024;2024-03-10;2024-03-12;974.33;1;1;2024;3;;2024-03-20;2;EXW;SEA_LCL;974.33;202.95;95.14;2024-05-30;transglory
118;9;AbreuLogistics;38165.00;2024;2024-03-12;2024-02-15;121.50;1;1;2024;3;;2024-03-26;1;CPT;SEA_LCL;121.50;77.50;0.00;2024-05-28;
119;44;AbreuLogistics;17981.03;2024;2024-03-20;2024-03-22;650.00;1;1;2024;3;;2024-03-28;1;EXW;SEA_LCL;650.00;125.00;662.52;2024-05-29;
120;97;DBSCHENKER;54094.70;2024;2024-03-20;2024-03-22;1107.44;1;1;2024;3;;2024-03-28;4;EXW;SEA_LCL;0.00;0.00;0.00;2024-06-19;
122;17;RHENUS;7993.04;2024;2024-03-28;2024-03-30;572.06;1;1;2024;3;;2024-04-09;13;EXW;SEA_LCL;572.06;95.00;296.70;2024-06-12;
123;68;DBSCHENKER;12385.01;2024;2024-03-30;2024-04-02;625.00;1;1;2024;3;;2024-04-12;4;EXW;SEA_LCL;625.00;95.00;334.40;2024-07-18;
124;29;DBSCHENKER;70563.58;2024;2024-04-12;2024-04-14;2832.44;1;1;2024;3;;2024-04-23;4;EXW;SEA_LCL;2832.44;95.00;0.00;2024-07-18;
125;80;DPD;2212.66;2024;2024-05-01;2024-05-02;11.06;2;2;2024;3;;2024-05-05;5;EXW;LAND;11.06;0.00;0.00;2024-05-10;
126;91;LusoCargo;11012.95;2024;2024-05-20;2024-05-15;437.25;2;2;2024;3;;2024-05-20;8;EXW;LAND;437.25;125.00;0.00;2024-06-02;
127;18;LusoCargo;16026.32;2024;2024-05-20;2024-05-18;512.25;2;2;2024;3;;2024-05-20;8;EXW;LAND;512.25;75.00;0.00;2024-06-02;
128;1;LusoCargo;13516.33;2024;2024-05-20;2024-05-18;462.25;1;1;2024;3;;2024-05-20;8;EXW;LAND;462.25;100.00;0.00;2024-06-02;
129;26;LusoCargo;16009.56;2024;2024-05-20;2024-05-18;582.25;1;1;2024;3;;2024-05-20;8;EXW;LAND;582.25;90.00;0.00;2024-06-02;
130;13;LusoCargo;39168.00;2024;2024-05-20;2024-05-18;612.25;1;1;2024;3;;2024-05-20;8;EXW;LAND;612.25;75.00;0.00;2024-06-02;
131;61;Nacex;3099.46;2024;2024-05-21;2024-05-18;17.08;2;2;2024;3;;2024-05-21;11;EXW;LAND;17.80;0.00;0.00;2024-05-29;
